Location;Date;Flpl_NFP;Age;Water height;Plant repeat;Dead;Species;Nb leaves;Presence_Roots;Nb stems;Av length stems;Std length;Av nb nods/stem;Av length internods;Std length internods;;
43;111221;Nfp;29;0;1;A;L;32;I;3;206,7;51,2;15,7;12,4;1,2;;43-CII
43;111221;Nfp;29;0;2;A;L;27;I;3;160,3;44,9;12,0;12,5;4,3;;43-CII
43;111221;Nfp;29;0;3;A;L;16;I;3;114,3;9,0;10,3;10,5;2,2;;43-CII
8;111221;Nfp;29;0;1;A;L;28;N;5;83,6;19,2;10,0;7,6;1,1;;8-CI
8;111221;Nfp;29;0;2;A;L;46;N;10;58,2;18,2;11,3;5,1;1,7;;8-CI
8;111221;Nfp;29;0;3;A;S;47;N;12;54,1;17,0;6,8;6,9;1,2;;8-CI
34;111221;Nfp;29;0;1;A;L;20;I;4;101,8;29,4;8,5;10,9;2,1;;34-CII
34;111221;Nfp;29;0;2;A;L;9;I;2;79,5;13,4;7,0;9,9;0,1;;34-CII
34;111221;Nfp;29;0;3;A;L;31;I;5;92,4;20,4;7,8;10,4;0,9;;34-CII
45;111221;Nfp;29;0;1;A;L;10;I;2;78,5;14,8;7,5;9,2;1,0;;45-CI
45;111221;Nfp;29;0;2;A;S;25;II;5;86,4;17,7;10,0;7,9;1,5;;45-CI
45;111221;Nfp;29;0;3;A;L;5;N;1;65,0;;7,0;8,1;;;45-CI
15;111221;Nfp;29;0;1;A;L;19;I;4;94,8;5,5;8,5;10,1;1,1;;15-CII
15;111221;Nfp;29;0;2;A;L;26;II;4;81,3;14,5;6,8;10,5;2,2;;15-CII
15;111221;Nfp;29;0;3;A;L;39;II;7;83,0;19,4;7,3;10,1;1,0;;15-CII
25;111221;Nfp;29;0;1;D;;;;;;;;;;;25-CII
25;111221;Nfp;29;0;2;A;L;7;I;2;132,0;15,6;11,5;10,6;1,8;;25-CII
25;111221;Nfp;29;0;3;D;;;;;;;;;;;25-CII
17;120104;Nfp;43;50;1;A;L;29;II;3;112,0;21,4;11,7;0,1;0,0;;
17;120104;Nfp;43;50;2;A;L;74;II;6;112,7;31,6;12,8;11,5;5,9;;
17;120104;Nfp;43;50;3;A;L;11;I;1;185,0;;15,0;0,3;;;
22;120104;Nfp;43;50;1;A;L;27;I;3;65,0;16,5;9,3;0,1;0,0;;
22;120104;Nfp;43;50;2;A;L;35;II;4;98,0;14,2;9,3;2,6;4,9;;
