ID (plot);ID (sub-block);Location;Cylinder number;Plant number;Type;Water height (theoretical);Water height (true);Inst_Water_height;Max_water_height;Speed;Flooded days;Control;ID (repetition);ID (date);"ID
 (unique ID number)";ID NMK;Dry weight (g);"Date sent 
to Nbo";Date drying;"Weight before
drying chamber (g)";"Weight after 
drying chamber (g)";"Weight paper
 bag (g)";Weight plastic bag (g);Drying duration;Comments;Dry_Matter;
;roots;Nfp;28;3;roots;20;41,5;42;42;3;14;N;;111206;1083;2133;;111221;111222;5,28;5,16;3,67;;48HRS;;0,12;
;NFP-10-1-50 - leaves;Nfp;10;1;leaves;50;41,5;42;42;3;14;N;;111206;1084;2134;;111221;111222;0;0;3,67;;48HRS;DEAD;;
;D.m;Nfp;10;1;dry_matter;50;41,5;42;42;3;14;N;;111206;1085;2135;;111221;111222;6,41;6,2;3,67;;48HRS;;0,21;
;stem;Nfp;10;1;stems;50;41,5;42;42;3;14;N;;111206;1086;2136;;111221;111222;9,12;8,51;3,67;;48HRS;;0,61;
;roots;Nfp;10;1;roots;50;41,5;42;42;3;14;N;;111206;1087;2137;;111221;111222;4,36;4,23;3,67;;48HRS;;0,13;
;NFP-10-2-50 - leaves;Nfp;10;2;leaves;50;41,5;42;42;3;14;N;;111206;1088;2138;;111221;111222;4,16;3,9;3,67;;48HRS;;0,26;
;D.m;Nfp;10;2;dry_matter;50;41,5;42;42;3;14;N;;111206;1089;2139;;111221;111222;4,98;4,48;3,67;;48HRS;;0,50;
;stem;Nfp;10;2;stems;50;41,5;42;42;3;14;N;;111206;1090;2140;;111221;111222;9,26;8,5;3,67;;48HRS;;0,76;
;roots;Nfp;10;2;roots;50;41,5;42;42;3;14;N;;111206;1091;2141;;111221;111222;4,97;4,77;3,67;;48HRS;;0,20;
;NFP-10-3-50-leaves;Nfp;10;3;leaves;50;41,5;42;42;3;14;N;;111206;1092;2142;;111221;111222;4,08;3,91;3,67;;48HRS;;0,17;
;D.m;Nfp;10;3;dry_matter;50;41,5;42;42;3;14;N;;111206;1093;2143;;111221;111222;3,62;3,21;3,67;;48HRS;;0,41;
;stem;Nfp;10;3;stems;50;41,5;42;42;3;14;N;;111206;1094;2144;;111221;111222;10,68;10,44;3,67;;48HRS;;0,24;
;roots;Nfp;10;3;roots;50;41,5;42;42;3;14;N;;111206;1095;2145;;111221;111222;4,91;4,68;3,67;;48HRS;;0,23;
;nfp-24-1-50 - leaves;Nfp;24;1;leaves;50;41,5;42;42;3;14;N;;111206;1096;2146;;111221;111222;4,42;4,21;3,67;;48HRS;;0,21;
;D.m;Nfp;24;1;dry_matter;50;41,5;42;42;3;14;N;;111206;1097;2147;;111221;111222;6,21;5,96;3,67;;48HRS;;0,25;
;stem;Nfp;24;1;stems;50;41,5;42;42;3;14;N;;111206;1098;2148;;111221;111222;10,64;10,21;3,67;;48HRS;;0,43;
;roots;Nfp;24;1;roots;50;41,5;42;42;3;14;N;;111206;1099;2149;;111221;111222;5,78;5,46;3,67;;48HRS;;0,32;
;nfp-24-2-50 - leaves;Nfp;24;2;leaves;50;41,5;42;42;3;14;N;;111206;1100;2150;;111221;111222;0;0;3,67;;48HRS;DEAD;;
;D.m;Nfp;24;2;dry_matter;50;41,5;42;42;3;14;N;;111206;1101;2151;;111221;111222;5,06;4,91;3,67;;48HRS;;0,15;
;stem;Nfp;24;2;stems;50;41,5;42;42;3;14;N;;111206;1102;2152;;111221;111222;9,91;9,66;3,67;;48HRS;;0,25;
;roots;Nfp;24;2;roots;50;41,5;42;42;3;14;N;;111206;1103;2153;;111221;111222;4,71;4,6;3,67;;48HRS;;0,11;
;nfp-24-3-50- leaves;Nfp;24;3;leaves;50;41,5;42;42;3;14;N;;111206;1104;2154;;111221;111222;4,28;4,07;3,67;;48HRS;;0,21;
;D.m;Nfp;24;3;dry_matter;50;41,5;42;42;3;14;N;;111206;1105;2155;;111221;111222;6,94;6,64;3,67;;48HRS;;0,30;
;stem;Nfp;24;3;stems;50;41,5;42;42;3;14;N;;111206;1106;2156;;111221;111222;9,86;9,47;3,67;;48HRS;;0,39;
;roots;Nfp;24;3;roots;50;41,5;42;42;3;14;N;;111206;1107;2157;;111221;111222;5,76;5,49;3,67;;48HRS;;0,27;
;nfp-36-1-50- leaves;Nfp;36;1;leaves;50;41,5;42;42;3;14;N;;111206;1108;2158;;111221;111222;4,72;4,56;3,67;;48HRS;;0,16;
;D.m;Nfp;36;1;dry_matter;50;41,5;42;42;3;14;N;;111206;1109;2159;;111221;111222;6,89;6,52;3,67;;48HRS;;0,37;
;stem;Nfp;36;1;stems;50;41,5;42;42;3;14;N;;111206;1110;2160;;111221;111222;16,46;14,76;3,67;;48HRS;;1,70;
;roots;Nfp;36;1;roots;50;41,5;42;42;3;14;N;;111206;1111;2161;;111221;111222;6,32;6,18;3,67;;48HRS;;0,14;
;nfp-36-2-50- leaves;Nfp;36;2;leaves;50;41,5;42;42;3;14;N;;111206;1112;2162;;111221;111222;4,28;4,01;3,67;;48HRS;;0,27;
;D.m;Nfp;36;2;dry_matter;50;41,5;42;42;3;14;N;;111206;1113;2163;;111221;111222;5,67;5,32;3,67;;48HRS;;0,35;
;stem;Nfp;36;2;stems;50;41,5;42;42;3;14;N;;111206;1114;2164;;111221;111222;11,06;10,87;3,67;;48HRS;;0,19;
;roots;Nfp;36;2;roots;50;41,5;42;42;3;14;N;;111206;1115;2165;;111221;111222;6,58;6,34;3,67;;48HRS;;0,24;
;nfp-36-3-50- leaves;Nfp;36;3;leaves;50;41,5;42;42;3;14;N;;111206;1116;2166;;111221;111222;4,12;3,94;3,67;;48HRS;;0,18;
;D.m;Nfp;36;3;dry_matter;50;41,5;42;42;3;14;N;;111206;1117;2167;;111221;111222;5,46;5,21;3,67;;48HRS;;0,25;
;stem;Nfp;36;3;stems;50;41,5;42;42;3;14;N;;111206;1118;2168;;111221;111222;9,98;9,5;3,67;;48HRS;;0,48;
;roots;Nfp;36;3;roots;50;41,5;42;42;3;14;N;;111206;1119;2169;;111221;111222;5,18;4,97;3,67;;48HRS;;0,21;
;nfp-25-1-80-leaves;Nfp;5;1;leaves;80;41,5;42;42;3;14;N;;111206;1120;2170;;111221;111222;4,96;4,62;3,67;;48HRS;;0,34;
;D.m;Nfp;5;1;dry_matter;80;41,5;42;42;3;14;N;;111206;1121;2171;;111221;111222;5,71;5,62;3,67;;48HRS;;0,09;
;stem;Nfp;5;1;stems;80;41,5;42;42;3;14;N;;111206;1122;2172;;111221;111222;7,63;7,51;3,67;;48HRS;;0,12;
;roots;Nfp;5;1;roots;80;41,5;42;42;3;14;N;;111206;1123;2173;;111221;111222;4,78;4,59;3,67;;48HRS;;0,19;
;nfp-25-2-80-leaves;Nfp;5;2;leaves;80;41,5;42;42;3;14;N;;111206;1124;2174;;111221;111222;4,21;3,99;3,67;;48HRS;;0,22;
;D.m;Nfp;5;2;dry_matter;80;41,5;42;42;3;14;N;;111206;1125;2175;;111221;111222;4,82;4,68;3,67;;48HRS;;0,14;
;stem;Nfp;5;2;stems;80;41,5;42;42;3;14;N;;111206;1126;2176;;111221;111222;8,02;7,98;3,67;;48HRS;;0,04;
;roots;Nfp;5;2;roots;80;41,5;42;42;3;14;N;;111206;1127;2177;;111221;111222;4,41;4,12;3,67;;48HRS;;0,29;
;nfp-25-3-80- leaves;Nfp;5;3;leaves;80;41,5;42;42;3;14;N;;111206;1128;2178;;111221;111222;4,18;3,93;3,67;;48HRS;;0,25;
;D.m;Nfp;5;3;dry_matter;80;41,5;42;42;3;14;N;;111206;1129;2179;;111221;111222;9,68;9,23;3,67;;48HRS;;0,45;
;stem;Nfp;5;3;stems;80;41,5;42;42;3;14;N;;111206;1130;2180;;111221;111222;10,46;10,27;3,67;;48HRS;;0,19;
;roots;Nfp;5;3;roots;80;41,5;42;42;3;14;N;;111206;1131;2181;;111221;111222;4,68;4,43;3,67;;48HRS;;0,25;
;nfp-12-1-80- leaves;Nfp;12;1;leaves;80;41,5;42;42;3;14;N;;111206;1132;2182;;111221;111222;3,99;3,8;3,67;;48HRS;;0,19;
;D.m;Nfp;12;1;dry_matter;80;41,5;42;42;3;14;N;;111206;1133;2183;;111221;111222;4,68;4,54;3,67;;48HRS;;0,14;
;stem;Nfp;12;1;stems;80;41,5;42;42;3;14;N;;111206;1134;2184;;111221;111222;7,62;7,41;3,67;;48HRS;;0,21;
;roots;Nfp;12;1;roots;80;41,5;42;42;3;14;N;;111206;1135;2185;;111221;111222;3,98;3,86;3,67;;48HRS;;0,12;
;nfp-12-2-80- leaves;Nfp;12;2;leaves;80;41,5;42;42;3;14;N;;111206;1136;2186;;111221;111222;4,26;3,98;3,67;;48HRS;;0,28;
;D.m;Nfp;12;2;dry_matter;80;41,5;42;42;3;14;N;;111206;1137;2187;;111221;111222;5,86;5,63;3,67;;48HRS;;0,23;
;stem;Nfp;12;2;stems;80;41,5;42;42;3;14;N;;111206;1138;2188;;111221;111222;7,81;7,02;3,67;;48HRS;;0,79;
;roots;Nfp;12;2;roots;80;41,5;42;42;3;14;N;;111206;1139;2189;;111221;111222;4,32;4,11;3,67;;48HRS;;0,21;
;nfp-12-3-80- leaves;Nfp;12;3;leaves;80;41,5;42;42;3;14;N;;111206;1140;2190;;111221;111222;4,53;4,3;3,67;;48HRS;;0,23;
;D.m;Nfp;12;3;dry_matter;80;41,5;42;42;3;14;N;;111206;1141;2191;;111221;111222;5,78;5,46;3,67;;48HRS;;0,32;
;stem;Nfp;12;3;stems;80;41,5;42;42;3;14;N;;111206;1142;2192;;111221;111222;8,13;7,89;3,67;;48HRS;;0,24;
;roots;Nfp;12;3;roots;80;41,5;42;42;3;14;N;;111206;1143;2193;;111221;111222;6,54;6,23;3,67;;48HRS;;0,31;
;NFP-38-1-20 leaves;Nfp;38;1;leaves;20;41,5;42;42;3;14;N;;111206;1144;2194;;111221;111222;4,84;4,46;3,67;;48HRS;;0,38;
;D.m;Nfp;38;1;dry_matter;20;41,5;42;42;3;14;N;;111206;1145;2195;;111221;111222;9,36;8,94;3,67;;48HRS;;0,42;
;stem;Nfp;38;1;stems;20;41,5;42;42;3;14;N;;111206;1146;2196;;111221;111222;16,26;15,17;3,67;;48HRS;;1,09;
;roots;Nfp;38;1;roots;20;41,5;42;42;3;14;N;;111206;1147;2197;;111221;111222;5,96;5,47;3,67;;48HRS;;0,49;
;NFP-38-2-20 leaves;Nfp;38;2;leaves;20;41,5;42;42;3;14;N;;111206;1148;2198;;111221;111222;4,84;4,69;3,67;;48HRS;;0,15;
;D.m;Nfp;38;2;dry_matter;20;41,5;42;42;3;14;N;;111206;1149;2199;;111221;111222;6,86;6,38;3,67;;48HRS;;0,48;
;stem;Nfp;38;2;stems;20;41,5;42;42;3;14;N;;111206;1150;2200;;111221;111222;15,68;14,8;3,67;;48HRS;;0,88;
;roots;Nfp;38;2;roots;20;41,5;42;42;3;14;N;;111206;1151;2201;;111221;111222;11,21;10,1;3,67;;48HRS;;1,11;
;NFP-38-3-20 leaves;Nfp;38;3;leaves;20;41,5;42;42;3;14;N;;111206;1152;2202;;111221;111222;4,51;4,27;3,67;;48HRS;;0,24;
;D.m;Nfp;38;3;dry_matter;20;41,5;42;42;3;14;N;;111206;1153;2203;;111221;111222;5,94;5,83;3,67;;48HRS;;0,11;
;stem;Nfp;38;3;stems;20;41,5;42;42;3;14;N;;111206;1154;2204;;111221;111222;12,12;11,72;3,67;;48HRS;;0,40;
;roots;Nfp;38;3;roots;20;41,5;42;42;3;14;N;;111206;1155;2205;;111221;111222;5,82;5,63;3,67;;48HRS;;0,19;
;nfp-40-1-20 leaves;Nfp;40;1;leaves;20;41,5;42;42;3;14;N;;111206;1156;2206;;111221;111222;4,72;4,58;3,67;;48HRS;;0,14;
;D.m;Nfp;40;1;dry_matter;20;41,5;42;42;3;14;N;;111206;1157;2207;;111221;111222;6,92;6,58;3,67;;48HRS;;0,34;
;stem;Nfp;40;1;stems;20;41,5;42;42;3;14;N;;111206;1158;2208;;111221;111222;11,96;11,78;3,67;;48HRS;;0,18;
;roots;Nfp;40;1;roots;20;41,5;42;42;3;14;N;;111206;1159;2209;;111221;111222;7,82;7,58;3,67;;48HRS;;0,24;
;nfp-40-2-20 leaves;Nfp;40;2;leaves;20;41,5;42;42;3;14;N;;111206;1160;2210;;111221;111222;4,21;3,98;3,67;;48HRS;;0,23;
;D.m;Nfp;40;2;dry_matter;20;41,5;42;42;3;14;N;;111206;1161;2211;;111221;111222;5,89;5,71;3,67;;48HRS;;0,18;
;stem;Nfp;40;2;stems;20;41,5;42;42;3;14;N;;111206;1162;2212;;111221;111222;8,96;8,46;3,67;;48HRS;;0,50;
;roots;Nfp;40;2;roots;20;41,5;42;42;3;14;N;;111206;1163;2213;;111221;111222;4,36;4,21;3,67;;48HRS;;0,15;
;nfp-40-3-20 leaves;Nfp;40;3;leaves;20;41,5;42;42;3;14;N;;111206;1164;2214;;111221;111222;4,56;4,38;3,67;;48HRS;;0,18;
;D.m;Nfp;40;3;dry_matter;20;41,5;42;42;3;14;N;;111206;1165;2215;;111221;111222;9,12;8,86;3,67;;48HRS;;0,26;
;stem;Nfp;40;3;stems;20;41,5;42;42;3;14;N;;111206;1166;2216;;111221;111222;34,51;28,44;3,67;;48HRS;;6,07;
;roots;Nfp;40;3;roots;20;41,5;42;42;3;14;N;;111206;1167;2217;;111221;111222;6,98;6,57;3,67;;48HRS;;0,41;
;nfp-31-1-80 leaves;Nfp;31;1;leaves;80;41,5;42;42;3;14;N;;111206;1168;2218;;111221;111222;4,72;4,57;3,67;;48HRS;;0,15;
;D.m;Nfp;31;1;dry_matter;80;41,5;42;42;3;14;N;;111206;1169;2219;;111221;111222;7,34;7,16;3,67;;48HRS;;0,18;
;stem;Nfp;31;1;stems;80;41,5;42;42;3;14;N;;111206;1170;2220;;111221;111222;14,68;13,3;3,67;;48HRS;;1,38;
;roots;Nfp;31;1;roots;80;41,5;42;42;3;14;N;;111206;1171;2221;;111221;111222;9,12;8,8;3,67;;48HRS;;0,32;
;nfp-31-2-80 leaves;Nfp;31;2;leaves;80;41,5;42;42;3;14;N;;111206;1172;2222;;111221;111222;3,92;3,83;3,67;;48HRS;;0,09;
;D.m;Nfp;31;2;dry_matter;80;41,5;42;42;3;14;N;;111206;1173;2223;;111221;111222;4,96;4,8;3,67;;48HRS;;0,16;
;stem;Nfp;31;2;stems;80;41,5;42;42;3;14;N;;111206;1174;2224;;111221;111222;7,86;7,73;3,67;;48HRS;;0,13;
;roots;Nfp;31;2;roots;80;41,5;42;42;3;14;N;;111206;1175;2225;;111221;111222;4,98;4,78;3,67;;48HRS;;0,20;
;nfp-31-3-80 leaves;Nfp;31;3;leaves;80;41,5;42;42;3;14;N;;111206;1176;2226;;111221;111222;4,26;4,09;3,67;;48HRS;;0,17;
;D.m;Nfp;31;3;dry_matter;80;41,5;42;42;3;14;N;;111206;1177;2227;;111221;111222;6,21;5,96;3,67;;48HRS;;0,25;
;stem;Nfp;31;3;stems;80;41,5;42;42;3;14;N;;111206;1178;2228;;111221;111222;9,62;9,31;3,67;;48HRS;;0,31;
;roots;Nfp;31;3;roots;80;41,5;42;42;3;14;N;;111206;1179;2229;;111221;111222;5,26;5,11;3,67;;48HRS;;0,15;
;GPS261-1-50 Leaves;Fldpln;F261-50;1;leaves;50;NA;50;NA;3;32;FldPln;;111212;1180;2230;;111221;111222;5,72;5,51;5,46;;48HRS;hyp flooding in fldpln started on the 11/11;0,21;
;D.m;Fldpln;F261-50;1;dry_matter;50;NA;50;NA;3;32;FldPln;;111212;1181;2231;;111221;111222;12,18;5,86;5,48;;48HRS;;6,32;
;stem;Fldpln;F261-50;1;stems;50;NA;50;NA;3;32;FldPln;;111212;1182;2232;;111221;111222;8,42;8,04;5,46;;48HRS;;0,38;
;roots;Fldpln;F261-50;1;roots;50;NA;50;NA;3;32;FldPln;;111212;1183;2233;;111221;111222;6,43;6,18;5,47;;48HRS;;0,25;
;GPS261-2-50 Leaves;Fldpln;F261-50;2;leaves;50;NA;50;NA;3;32;FldPln;;111212;1184;2234;;111221;111222;5,67;5,45;5,46;;48HRS;;0,22;
;D.m;Fldpln;F261-50;2;dry_matter;50;NA;50;NA;3;32;FldPln;;111212;1185;2235;;111221;111222;5,9;5,69;5,46;;48HRS;;0,21;
;stem;Fldpln;F261-50;2;stems;50;NA;50;NA;3;32;FldPln;;111212;1186;2236;;111221;111222;7,03;6,69;5,47;;48HRS;;0,34;
;roots;Fldpln;F261-50;2;roots;50;NA;50;NA;3;32;FldPln;;111212;1187;2237;;111221;111222;6,69;6,42;5,46;;48HRS;;0,27;
;GPS261-3-50 Leaves;Fldpln;F261-50;3;leaves;50;NA;50;NA;3;32;FldPln;;111212;1188;2238;;111221;111222;5,64;5,44;5,46;;48HRS;;0,20;
;D.m;Fldpln;F261-50;3;dry_matter;50;NA;50;NA;3;32;FldPln;;111212;1189;2239;;111221;111222;6,59;6,33;5,46;;48HRS;;0,26;
;stem;Fldpln;F261-50;3;stems;50;NA;50;NA;3;32;FldPln;;111212;1190;2240;;111221;111222;9,02;8,59;5,46;;48HRS;;0,43;
;roots;Fldpln;F261-50;3;roots;50;NA;50;NA;3;32;FldPln;;111212;1191;2241;;111221;111222;7,38;7,06;5,46;;48HRS;;0,32;
;GPS261-1-80 Leaves;Fldpln;F261-80;1;leaves;80;NA;80;NA;3;32;FldPln;;111212;1192;2242;;111221;111222;6,11;5,84;5,46;;48HRS;;0,27;
;D.m;Fldpln;F261-80;1;dry_matter;80;NA;80;NA;3;32;FldPln;;111212;1193;2243;;111221;111222;6,43;6,14;5,46;;48HRS;;0,29;
